target,    dr2id,    dr3id
HD 148164 , Gaia DR2 4459907547841472128 , Gaia DR3 4459907547841472128
Kepler-1011 , Gaia DR2 2080310088916950016 , Gaia DR3 2080310088916950016
WASP-6 , Gaia DR2 2385171398768647552 , Gaia DR3 2385171398768647552
Kepler-466 , Gaia DR2 2134719834131370496 , Gaia DR3 2134719834131370496
GJ 514 , Gaia DR2 3738099879558957952 , Gaia DR3 3738099879558957952
Qatar 10 , Gaia DR2 2262322556576778752 , Gaia DR3 2262322556576778752
Kepler-247 , Gaia DR2 2102911576914748032 , Gaia DR3 2102911581215700096
HD 27442 , Gaia DR2 4678664766394767616 , Gaia DR3 4678664766393829504
Kepler-1763 , Gaia DR2 2076537252208879104 , Gaia DR3 2076537252208879104
K2-397 , None , Gaia DR3 3414370975935397888
TOI-1347 , Gaia DR2 2265406171296388992 , Gaia DR3 2265406171296997888
WASP-59 , Gaia DR2 2841043011433969152 , Gaia DR3 2841043011433969152
HD 144899 , Gaia DR2 5984023937500025344 , Gaia DR3 5984023937500025344
Kepler-1585 , Gaia DR2 2079700100481104000 , Gaia DR3 2079700100481104000
TOI-2379 , Gaia DR2 6521531466699512064 , None
Kepler-688 , Gaia DR2 2052232410241029248 , Gaia DR3 2052232410241029248
HATS-8 , Gaia DR2 6767008363999712512 , Gaia DR3 6767008363999712512
TOI-1691 , Gaia DR2 2303587361109316224 , Gaia DR3 2303587361109316224
GJ 682 , Gaia DR2 5955305209191546112 , Gaia DR3 5955305209191546112
Kepler-1103 , Gaia DR2 2132808608042844160 , Gaia DR3 2132808608042844160
HAT-P-65 , Gaia DR2 1757302881526250496 , Gaia DR3 1757302881526250496
HATS-27 , Gaia DR2 6134228079203074176 , Gaia DR3 6134228079203074176
HD 147379 , Gaia DR2 1642641410934267008 , Gaia DR3 1642641410934267008
Kepler-183 , Gaia DR2 2052452140764708480 , Gaia DR3 2052452140764708480
K2-216 , Gaia DR2 2556231154370582400 , Gaia DR3 2556231154370582400
Kepler-617 , Gaia DR2 2107607354856794880 , Gaia DR3 2107607354856794880
HATS-35 , Gaia DR2 6441034841743467776 , Gaia DR3 6441034841743467776
LTT 9779 , Gaia DR2 2307504062045842688 , Gaia DR3 2307504062045842688
TOI-2364 , None , Gaia DR3 3022644120017418496
WASP-193 , Gaia DR2 5453063823882876032 , Gaia DR3 5453063823882876032
Kepler-964 , Gaia DR2 2076589960045421184 , Gaia DR3 2076589960045421184
WASP-60 , Gaia DR2 2868528637464028160 , Gaia DR3 2868528637464028160
Kepler-851 , Gaia DR2 2134808963293894912 , Gaia DR3 2134808963293894912
