designation,    u,    v,    w
Gaia DR3 415665118140313472,-9.014908135834244,15.070831588648495,-3.526418791689835
Gaia DR3 415710679155061248,-16.29755127412119,27.436701543712655,-6.353148349824879
Gaia DR3 415735624324946816,-21.964386263499744,37.46249849298856,-8.405030322036623
Gaia DR3 415741465478813184,-34.11139956752431,58.81105568268906,-14.569280971381996
Gaia DR3 415763386991633792,-31.649961555167724,55.38749658473124,-13.31774827378548
Gaia DR3 415763386991635072,-32.42503800562375,56.75128844925648,-13.648818142827935
Gaia DR3 415938656017462528,-33.18884687933766,57.520151456743235,-12.580989769037863
Gaia DR3 416135846558362112,-11.617730660639623,19.42408640719926,-4.189864253451537
Gaia DR3 415996861414096640,-31.731911338634774,55.23974814635922,-11.5981472685916
Gaia DR3 415998304525297792,-20.45329704832665,35.79972300171299,-7.557184463175487
Gaia DR3 416158489625704320,-12.151684817456426,20.594128717406598,-4.2653062699497415
Gaia DR3 2315906774718233728,9.240947699798419,-2.1098768874588423,-72.41419082479202
Gaia DR3 2315907427554077056,9.208593661601691,-2.085616799043713,-72.07295183650174
Gaia DR3 2315919865779378560,6.890094783727201,-1.4266600344086946,-55.450057252824166
Gaia DR3 2321638975511349632,6.019337398561007,1.2139407121796069,-51.522065452852566
Gaia DR3 2316179659761249280,11.856240268376597,-1.9295938633132508,-79.04075610918788
Gaia DR3 2316180587474183168,9.708698698255906,-1.5035373895574615,-65.1651548268567
Gaia DR3 2316250990578091776,11.330853617404646,-1.2692010393411124,-75.61414498493716
Gaia DR3 2321900178242305664,7.927163893004633,2.3446980537016486,-67.41317672784646
Gaia DR3 2322039850578916224,5.097368217459923,1.9408931333788857,-49.858254948338974
Gaia DR3 2322071461538241280,3.4646076361231293,1.4926966021541936,-34.98285380042518
Gaia DR3 2322099292926243328,6.507752510186519,2.614344455042204,-58.41354814132455
Gaia DR3 2316867885320845696,2.4203478339187376,-0.10378601686729905,-17.862377988811453
Gaia DR3 2316968043958081152,10.121683031879586,-0.2726807412444323,-77.18525528329546
Gaia DR3 2316968078317032064,10.150721137623176,-0.26285085332071745,-77.27159356957401
Gaia DR3 2316968078317819264,10.129111711105704,-0.2624392290877928,-77.1033849391464
Gaia DR3 2322289748956080896,4.33991774420487,2.184433780319406,-55.31961467630309
Gaia DR3 2317008279211780480,4.929869056547135,-0.028893681807103277,-41.387391744042844
Gaia DR3 2322381248939069952,4.88651625880388,2.514858365675458,-63.71693040740593
Gaia DR3 2322381729975418496,3.3321679609395414,1.7424809369292795,-44.061560617379754
Gaia DR3 2322393343566984576,4.542842769417838,2.586217216458749,-62.082034382418826
Gaia DR3 2322452064359972608,7.2057446217093855,3.308766053873722,-77.27840000842168
Gaia DR3 2322506180947943040,4.236722290945522,2.4290379556344526,-49.585379955728115
Gaia DR3 2322561156529549440,0.6836910407982137,0.41604271744822974,-7.691424067704607
Gaia DR3 2322574488107786624,1.5838435017380181,1.003769899510309,-17.81494135669936
Gaia DR3 2322611768423746944,4.297794268922412,2.83982478854524,-55.36074642810563
Gaia DR3 2322617678298753280,4.183140607575785,2.8637928902614895,-55.73312375362575
Gaia DR3 2322618056255886720,4.2150051194483495,2.9066241289591908,-56.36352684838862
Gaia DR3 2317455505566243968,8.779002762715201,-1.8283957099449708,-77.85767295765291
Gaia DR3 2317474231623663104,7.860495893299264,-1.401583785075129,-70.74812871874386
Gaia DR3 2317617919753845120,6.490611725879436,-0.7982944211339351,-65.79535036927969
Gaia DR3 2317617924049442176,6.518079399949636,-0.8036340745072366,-66.06431153415609
Gaia DR3 2317773298786508416,1.7204228110647746,-0.6738050181562674,-24.883181466738677
Gaia DR3 2317800236821383424,4.880108125564192,-1.5386736275336972,-72.90413774136037
Gaia DR3 2322990172222665728,5.537372326682763,3.531906382902175,-54.32483499320042
Gaia DR3 2317978666942680320,5.711500750562715,-0.9831514924319364,-72.60377630544919
Gaia DR3 2323304976145390208,6.760163301132263,4.285636974800671,-72.54713799717047
Gaia DR3 2323327378694777984,5.103697265770318,3.5642533753908516,-54.167012851780186
Gaia DR3 2318244336439691776,3.9548678614840194,-0.42316985166221777,-36.518511356746224
Gaia DR3 2318245057994196608,3.954310507495575,-0.40978546533805726,-36.47325903967063
Gaia DR3 2318247428816118656,7.041567405908957,-0.6796425527208427,-61.23621458289135
Gaia DR3 2323441521745591296,5.976580904380626,4.72290009176168,-72.90856101424684
Gaia DR3 2318295979126499200,6.453583394824706,-0.3055923479204701,-62.560228985601476
