Sol                  ranks  141 of  601 stars in decreasing density
Sol                  ranks  370 of  601 stars in decreasing residuals
Sol                  ranks   43 of   77 stars with |v| within 1.250000


           Gaia id            |   rho   |    D    |    u     |    v     |    w     |    U     |    V     |    W     
                              |         |         |   [pc]   |   [pc]   |   [pc]   |  [km/s]  |  [km/s]  |  [km/s]  
------------------------------------------------------------------------------------------------------------------------
Sol                           |3.239e+00|5.133e-01| 0.000e+00| 0.000e+00| 0.000e+00| 1.110e+01| 1.214e+01| 7.250e+00
Gaia DR3 4247023886053586304  |1.297e+00|5.979e-01| 8.821e+00| 8.608e+00|-3.124e+00|-1.115e+01|-4.480e+00| 2.275e+01
Gaia DR3 6234740243896542464  |5.587e+00|4.688e-01| 2.941e+01|-7.975e+00| 1.229e+01|-2.290e+00|-8.168e+00|-7.384e-01
Gaia DR3 4040839376832467584  |7.885e-01|6.496e-01| 1.896e+01|-1.330e+00|-1.487e+00| 4.199e+00|-2.025e+01| 2.093e+01
Gaia DR3 2513234580367456640  |5.852e+00|4.652e-01|-1.722e+01| 5.497e+00|-2.581e+01|-1.491e+01|-5.035e+00| 1.251e+01
Gaia DR3 652005932802958976   |3.050e+00|5.185e-01|-1.771e+01|-1.017e+01| 9.992e+00| 9.093e+00|-1.466e+01|-7.158e+00
Gaia DR3 6612817217002464128  |6.280e-01|6.748e-01| 1.148e+01| 2.875e+00|-1.538e+01| 6.902e+01|-9.741e+00|-2.580e+00
Gaia DR3 2999254213453678720  |7.287e+00|4.485e-01|-1.231e+01|-8.979e+00|-4.597e+00|-1.293e+01| 6.500e+00| 2.732e+00
Gaia DR3 817747655601865088   |2.054e+00|5.538e-01|-2.074e+01| 9.549e-01| 2.080e+01|-1.901e+01|-5.537e+00|-2.115e+01
Gaia DR3 5009462425978148864  |4.177e+00|4.920e-01| 5.557e-01|-7.226e+00|-3.071e+01|-2.328e+01|-1.175e+01| 2.109e+00
Gaia DR3 4251808514080675712  |6.126e-01|6.776e-01| 2.031e+01| 9.269e+00|-5.219e-01|-3.359e+01|-4.149e+01| 8.894e+00
Gaia DR3 234556517747673600   |2.702e-01|7.766e-01|-3.206e+01| 1.644e+01|-1.090e+01| 1.334e+00|-2.386e+01|-3.646e+01
Gaia DR3 4108554857678482432  |1.717e+00|5.706e-01| 2.239e+01|-1.216e+00| 2.677e+00| 4.589e+00|-1.223e+01| 1.793e+01
Gaia DR3 4533301804432654976  |1.434e+00|5.880e-01| 1.219e+01| 1.714e+01| 3.549e+00| 3.199e+01| 6.715e+00|-1.610e+01
Gaia DR3 2893429861416436096  |3.028e+00|5.191e-01|-1.784e+01|-2.939e+01|-1.210e+01|-1.389e+01|-4.281e+00|-1.544e+01
Gaia DR3 5948579462188230144  |7.332e-01|6.576e-01| 2.590e+01|-7.773e+00|-4.108e+00|-3.380e+01|-3.854e+01|-5.441e+00
Gaia DR3 5277820503851295872  |6.823e-01|6.655e-01| 3.157e+00|-2.641e+01|-6.574e+00| 2.066e+01| 3.428e+01| 4.586e+00
Gaia DR3 6421555485729063424  |1.086e+00|6.159e-01| 2.754e+01|-1.768e+01|-1.650e+01|-8.632e+00| 1.984e+01|-1.332e+01
Gaia DR3 2464228213246255744  |2.203e+00|5.474e-01|-1.362e+01| 3.786e+00|-3.422e+01| 2.909e+01|-9.784e+00|-5.720e+00
Gaia DR3 6228000276276576896  |1.118e-01|8.996e-01| 1.985e+01|-7.497e+00| 1.173e+01|-3.898e+01| 3.908e+01| 7.965e+00
Gaia DR3 4970123274326574080  |1.900e-01|8.235e-01|-3.924e+00|-6.525e+00|-2.248e+01|-8.006e+01|-4.120e+01|-8.661e+00
Gaia DR3 6447036461541073920  |1.406e-03|1.866e+00| 2.963e+01|-1.195e+01|-1.886e+01| 7.834e+01|-1.239e+02|-4.499e+01
Gaia DR3 1217707925171095040  |5.351e+00|4.721e-01| 1.465e+01| 1.088e+01| 2.174e+01|-6.996e+00|-1.504e+01| 5.762e+00
Gaia DR3 1278597264210509568  |9.872e-01|6.258e-01| 9.021e+00| 1.262e+01| 2.396e+01|-3.281e+01|-5.219e+00| 1.845e+01
Gaia DR3 801082701458177024   |6.299e-02|9.899e-01|-2.139e+01|-1.452e+00| 2.519e+01| 6.905e+01|-4.995e+01| 1.889e+01
Gaia DR3 6002545034740672512  |1.204e+00|6.054e-01| 2.762e+01|-1.528e+01| 7.068e+00|-4.642e+00| 2.258e+01|-9.541e+00
