name,    designation,    rho,    P_target,    P_1comp,    P_1compv,    N_sample
HD 140901,Gaia DR3 6009538585839374336,2.738513990852678,[0.92625959],[1.69643953e-01 5.82400237e-15],[3.13230864e-01 2.28557978e-50],600
GU Psc,Gaia DR3 2784120641627589760,6.435800139879736,[0.98798962],[1.49713055e-01 1.12214273e-11],[3.20820851e-01 3.76399110e-53],600
GJ 393,Gaia DR3 3855208897392952192,3.9573500478258685,[0.98474203],[1.67276668e-01 8.90911946e-15],[3.32890061e-01 5.30188842e-57],600
K2-349,Gaia DR3 3608708904525885440,0.3797215259169397,[0.07048063],[2.50266940e-01 3.65308588e-32],[3.33477418e-01 2.09438341e-57],600
K2-209,Gaia DR3 2537467988442521600,0.06707244247396954,[8.24554247e-05],[2.11074741e-01 6.45682722e-23],[3.33905614e-01 2.34177201e-57],600
K2-48,Gaia DR3 3799841752426128896,0.9670033249171642,[0.72117083],[2.00480835e-01 1.36192178e-20],[3.42431538e-01 1.35894072e-60],600
Kepler-974,Gaia DR3 2103377980301947264,5.242793991468076,[0.98550867],[1.65790614e-01 3.47666400e-14],[3.20566048e-01 1.06427966e-52],600
Kepler-1774,Gaia DR3 2102110724433416960,0.29724693438161237,[0.04968181],[2.19530495e-01 5.52582006e-25],[3.23365007e-01 9.87719533e-54],600
Kepler-138,Gaia DR3 2102053446751282944,2.024870321355425,[0.30525357],[1.91825101e-01 4.88429462e-19],[3.36368122e-01 1.26004687e-58],600
Kepler-463,Gaia DR3 2079192121810035840,0.014157601244464007,[1.73933548e-07],[1.74804305e-01 6.06139633e-16],[3.33013751e-01 9.50221299e-57],600
HD 77338,Gaia DR3 5649661592466640000,0.26362332031472246,[0.07702286],[1.84223376e-01 9.89242521e-18],[3.24855291e-01 2.48869759e-54],600
Kepler-219,Gaia DR3 2127771917075703424,2.69845278226722,[0.98880341],[2.11826882e-01 1.96630397e-23],[3.28003127e-01 2.08721159e-55],600
HD 207897,Gaia DR3 2300641567596591488,1.9116632709079682,[0.83443245],[1.73910164e-01 1.18578329e-15],[3.33408620e-01 5.51511024e-57],600
HD 22946,Gaia DR3 4848767461548943104,1.7579512274751123,[0.84817812],[1.44297529e-01 6.26645008e-11],[3.17097767e-01 4.38684730e-52],600
TOI-1333,Gaia DR3 1978027916667478656,3.9936095521707853,[0.97849769],[1.86052325e-01 8.32725794e-18],[3.34274447e-01 1.38272515e-57],600
HD 5278,Gaia DR3 4617759514501503616,0.27470565790650003,[0.18277243],[1.35906324e-01 8.34400957e-10],[3.15546294e-01 2.16359214e-51],600
K2-186,Gaia DR3 612404474610535936,0.600828916348674,[0.00090239],[2.07613398e-01 2.28489226e-22],[3.43480743e-01 5.66863829e-61],600
Kepler-1770,Gaia DR3 2075969526254302848,1.2507494282157667,[0.83742522],[1.92480891e-01 2.69545394e-19],[3.36844810e-01 1.71574096e-58],600
Kepler-158,Gaia DR3 2103295173333142784,0.06476110500272687,[0.01924058],[1.06286904e-01 4.62563662e-06],[3.10997374e-01 1.68074747e-50],600
Kepler-971,Gaia DR3 2103712163117363200,9.429533179128669,[0.99704161],[1.12935000e-01 8.67080831e-07],[3.05861111e-01 1.41446566e-48],600
TOI-1411,Gaia DR3 1401760747118886016,0.49930086157171166,[0.30111091],[1.69722391e-01 5.02742261e-15],[3.23150675e-01 7.60573151e-54],600
G 9-40,Gaia DR3 684992690384102528,0.288105958080533,[0.03717626],[1.65748514e-01 2.83230792e-14],[3.30894987e-01 8.51714164e-57],600
TOI-2443,Gaia DR3 2501948402746099456,0.07515055969716755,[0.01699111],[1.30321171e-01 6.69693359e-09],[3.29907848e-01 3.67867259e-56],600
TOI-2981,Gaia DR3 5458258092906639232,0.31086372429176784,[0.03104041],[2.18645058e-01 9.63851665e-25],[3.35661221e-01 7.13970119e-58],600
TOI-2537,Gaia DR3 12320268307415552,0.13737494608677084,[0.03396662],[1.49963470e-01 9.83167763e-12],[3.10705906e-01 1.83941890e-49],600
HD 104985,Gaia DR3 1693159194226600192,0.036151481286094925,[2.79361136e-05],[1.6351069e-01 6.0043158e-14],[3.27772261e-01 2.50554456e-55],600
WASP-54,Gaia DR3 3661983850663908608,3.210199977942614,[0.9878772],[2.25563166e-01 4.70678018e-26],[3.27440459e-01 1.08491493e-55],600
HATS-67,Gaia DR3 6144060260072337024,2.6485713730455807,[0.94920151],[2.23326711e-01 6.19191844e-20],[3.19553603e-01 7.93563028e-41],464
EPIC 206024342,Gaia DR3 6839540362940861568,0.28886049334738867,[0.06566551],[2.38404315e-01 3.85380611e-29],[3.30809553e-01 6.88274049e-56],600
K2-292,Gaia DR3 3616931735377523712,4.162777685040361,[0.97466087],[1.52783959e-01 2.50474261e-12],[3.23681366e-01 9.57093931e-54],600
HD 12235,Gaia DR3 2511794495013074048,0.7927202828967097,[0.62458392],[1.54421279e-01 2.03224424e-12],[3.24523040e-01 1.68918223e-54],600
WASP-92,Gaia DR3 1424011082893734272,1.8823737270026935,[0.97186705],[2.47414678e-01 1.42611967e-30],[3.34870841e-01 1.35164198e-55],579
HD 106315,Gaia DR3 3698307419878650240,2.303051642285938,[0.96351457],[1.75610412e-01 6.71668378e-16],[3.30082751e-01 3.19928273e-56],600
HD 109833,Gaia DR3 5838450865699668736,11.795208270498394,[0.97319518],[1.08401918e-01 3.16280711e-06],[3.13590667e-01 1.74407138e-50],600
Kepler-1365,Gaia DR3 2125716891183392640,0.21019356521291305,[0.01357551],[2.31190359e-01 3.56146984e-27],[3.48800134e-01 3.89749168e-63],600
TOI-1268,Gaia DR3 1675923009431370880,1.8914262608240486,[0.8963831],[1.71577779e-01 3.41374949e-15],[3.07149456e-01 7.99333623e-49],600
Kepler-312,Gaia DR3 2078450436800904448,2.985312846451991,[0.99162466],[2.10049248e-01 1.17127931e-22],[3.4173749e-01 1.4968316e-60],600
HD 10975,Gaia DR3 343449606741529728,0.48487062616646404,[0.43848996],[1.78415303e-01 1.11592021e-16],[3.21552971e-01 1.72538559e-53],600
TOI-2120,Gaia DR3 513299860904522752,1.167016569300612,[0.7950417],[1.34480882e-01 1.62975080e-09],[3.38150966e-01 3.68914182e-59],600
HD 221416,Gaia DR3 2388463203438164096,0.027956224350276806,[3.12425524e-05],[1.54488575e-01 1.63725604e-12],[3.26504498e-01 5.47687544e-55],600
GJ 2030,Gaia DR3 5168359139139252352,0.1643803186439079,[0.22977085],[1.12176855e-01 1.13791049e-06],[3.08143446e-01 1.00835007e-48],600
TOI-4603,Gaia DR3 3402980516507429888,1.8604795789554078,[0.95462077],[1.86799281e-01 4.54541944e-18],[3.29081065e-01 1.10863673e-55],600
TOI-2048,Gaia DR3 1404488390652463872,30.914833895638164,[0.98561556],[1.48148525e-01 2.29780545e-11],[3.05248229e-01 2.22597867e-48],600
Kepler-1654,Gaia DR3 2105415302330571008,0.07952812904651098,[2.83419862e-05],[2.16579951e-01 2.53733168e-24],[3.22107614e-01 2.62110099e-53],600
HD 224693,Gaia DR3 2340155679036275200,0.5654998823212737,[0.47551722],[1.69404716e-01 6.40307369e-15],[3.37249484e-01 1.96774105e-58],600
K2-194,Gaia DR3 3618361345307363584,1.3129368820977059,[0.91201239],[2.64244077e-01 1.66750422e-21],[3.38580883e-01 1.75448514e-35],360
Kepler-1771,Gaia DR3 2129746468160336768,0.7887752551947211,[0.66867424],[2.39501487e-01 1.85044192e-29],[3.48149588e-01 4.98711686e-62],600
Kepler-1029,Gaia DR3 2101670026430316416,0.0300939325583145,[0.00089847],[1.34634391e-01 1.73278452e-09],[3.19927514e-01 6.09355041e-53],600
TOI-2005,Gaia DR3 5388416255319817856,8.346495110341424,[0.98834389],[1.63101700e-01 7.81280051e-14],[3.22832851e-01 5.13452437e-54],600
Kepler-527,Gaia DR3 2129162283888866688,1.7750841855944528,[0.96716598],[2.32006955e-01 1.19184716e-27],[3.16537313e-01 1.53175455e-51],600
BD-13 2130,Gaia DR3 3030262468592291072,2075.060638348324,1.0,[0.09496869 0.00026847],[3.55567515e-01 8.81962238e-66],600
K2-208,Gaia DR3 2534388703049641472,0.4944167818348181,[0.43405284],[2.13108656e-01 3.38794668e-23],[3.41003897e-01 7.16758429e-60],600
HD 60292,Gaia DR3 1095822117729707264,1.164701387257658,[0.57404431],[2.21878555e-01 1.61772683e-25],[3.42690561e-01 4.17046115e-61],600
Kepler-962,Gaia DR3 2080453025427246848,1.906314333912804,[0.95831606],[2.24523721e-01 1.22461248e-25],[3.06493141e-01 6.03868559e-48],600
G 268-110,Gaia DR3 2358022227591374336,0.6587421884999162,[0.77433729],[1.58658385e-01 5.06083302e-13],[3.23451809e-01 2.69693521e-53],600
HD 73583,Gaia DR3 5746824674801810816,4.8719295097535085,[0.97847759],[1.59539272e-01 3.30319219e-13],[3.21892727e-01 3.82764536e-53],600
HD 175607,Gaia DR3 6434759761383343744,0.02986971058448361,[3.86553167e-05],[1.50434322e-01 6.95425384e-12],[3.22170514e-01 8.62055118e-54],600
HD 5608,Gaia DR3 362706006713454208,1.528209556181981,[0.9364973],[1.76670069e-01 2.98547621e-16],[3.23080560e-01 6.48627482e-54],600
K2-246,Gaia DR3 3697828548204889344,0.7953613747013143,[0.94174677],[2.40208219e-01 3.78273203e-11],[3.34332130e-01 3.93503049e-21],217
TOI-332,Gaia DR3 6529471108882243840,1.4243330244421737,[0.91458102],[2.18426857e-01 9.79719765e-25],[3.32482326e-01 1.45263964e-56],600
TYC 1422-614-1,Gaia DR3 625078240201245568,0.8942403789616605,[0.91875047],[2.53478822e-01 2.31966622e-11],[3.35448436e-01 1.14400177e-19],200
TOI-1751,Gaia DR3 1629404184289170688,0.04750421478226502,[6.22104575e-05],[1.62526769e-01 8.73789187e-14],[3.32846018e-01 6.89513623e-57],600
Kepler-1723,Gaia DR3 2128157158464165504,0.6223758465234739,[0.62354497],[2.06920533e-01 2.69906797e-22],[3.35402570e-01 6.98614125e-58],600
Kepler-613,Gaia DR3 2107102988257870336,1.1210499084263144,[0.6675832],[2.62886555e-01 7.34078430e-36],[3.3081283e-01 1.0756274e-55],599
Kepler-289,Gaia DR3 2078515170549178880,3.5725927282733183,[0.98954217],[2.14793382e-01 1.60552452e-23],[3.23707626e-01 1.68258829e-54],600
Kepler-1285,Gaia DR3 2105291955168605440,2.573647229622507,[0.98523917],[1.80493433e-01 6.84870838e-17],[3.33990429e-01 4.34705167e-57],600
Kepler-203,Gaia DR3 2076792648144511104,1.0393603942400516,[0.8555717],[2.04050718e-01 1.80982497e-21],[3.32906888e-01 1.33611543e-57],600
GJ 2056,Gaia DR3 5617244278837970816,1.303820074505771,[0.90365291],[1.72179421e-01 2.68508192e-15],[3.27674527e-01 2.17192535e-55],600
HD 109271,Gaia DR3 3578137842709899648,0.6514501309032786,[0.48544909],[1.6812102e-01 9.4809392e-15],[3.24125614e-01 6.34229820e-55],600
HD 25723,Gaia DR3 3188967248247014784,2.8852801872411074,[0.96133312],[1.58832136e-01 3.50176746e-13],[3.22286114e-01 4.32217732e-53],600
CoRoT-1,Gaia DR3 3105507886130792448,1.373429168149478,[0.91132714],[1.75261172e-01 6.43241296e-16],[3.19169747e-01 5.80912875e-52],600
HIP 63242,Gaia DR3 5858576597131420288,0.06077669439475008,[0.00457588],[1.37101888e-01 8.30286285e-10],[3.11127676e-01 3.36156844e-50],600
HD 96127,Gaia DR3 781999921242524160,1.4807169156636661,[0.94611887],[2.82771486e-01 3.91205565e-30],[3.65347668e-01 6.37087107e-50],434
K2-261,Gaia DR3 3807826337147474176,0.5784043466705311,[0.58576133],[1.89717068e-01 1.34863036e-18],[3.54849522e-01 1.01340876e-64],600
Kepler-36,Gaia DR3 2129931456691176576,2.0976701966404683,[0.95602706],[2.08037325e-01 2.02468567e-22],[3.30700105e-01 5.99736498e-56],600
HD 80913,Gaia DR3 5195752440555653504,0.029052941009834035,[0.00059553],[1.21639673e-01 6.16269555e-08],[3.31119211e-01 1.11502023e-56],600
Kepler-391,Gaia DR3 2133196151531241216,0.04887395063780974,[7.07620013e-08],[2.43088143e-01 2.70496368e-30],[3.38068559e-01 1.61469015e-58],600
HD 110014,Gaia DR3 3676091134604409728,1.7091364671862845,[0.93760157],[1.65321682e-01 3.16088279e-14],[3.14140043e-01 3.43370156e-51],600
K2-54,Gaia DR3 2594546351459477760,3.157339337816297,[0.99424721],[2.30505774e-01 3.00614187e-27],[3.19045262e-01 2.25222107e-52],600
K2-266,Gaia DR3 3855246074629979264,0.7916565552943131,[0.54302059],[1.71298809e-01 2.24155541e-15],[3.17023705e-01 7.00755052e-52],600
GJ 887,Gaia DR3 6553614253923452800,0.021100907350237147,[1.43922216e-06],[1.62041653e-01 1.29760529e-13],[3.11148520e-01 7.30675369e-50],600
HD 113538,Gaia DR3 6080301367488384896,0.05801172880877261,[0.00144451],[1.50274515e-01 8.05545358e-12],[3.05620435e-01 7.78401735e-48],600
Kepler-208,Gaia DR3 2077750803804146176,2.1819478050668333,[0.97899236],[2.17148545e-01 1.29403343e-24],[3.32369160e-01 1.58989597e-56],600
Kepler-1049,Gaia DR3 2131059628640021120,1.2375863732500763,[0.82934012],[1.69976075e-01 4.81630318e-15],[3.36862065e-01 1.06148878e-58],600
HD 10180,Gaia DR3 4716158250340258944,0.6025525644577899,[0.62255784],[1.51853710e-01 4.20996629e-12],[3.20146435e-01 1.46928372e-52],600
TOI-2152,Gaia DR3 562109759036198272,2.777671237894919,[0.98199936],[2.16153320e-01 2.37836464e-24],[3.24968822e-01 1.18937133e-54],600
Kepler-543,Gaia DR3 2099620777272914944,8.150324203843288,[0.99908631],[1.69268904e-01 7.15780293e-15],[3.30398648e-01 1.98691023e-56],600
K2-253,Gaia DR3 3584368019189709952,0.6009273081994122,[0.27187472],[3.37560721e-01 2.70751853e-12],[3.57648410e-01 1.46971472e-13],119
WASP-55,Gaia DR3 3603529272750802560,2.0362966116798247,[0.97051875],[2.02551498e-01 3.13519238e-21],[3.46624222e-01 7.18823763e-63],600
TOI-2567,Gaia DR3 2254929887069708160,0.0470850266413095,[9.13156514e-10],[2.46979260e-01 3.23148972e-31],[3.24622964e-01 1.01375575e-54],600
HD 153950,Gaia DR3 5965406010180880640,0.26735822311141666,[0.02685365],[1.50993075e-01 5.45492349e-12],[3.31322751e-01 1.18610792e-56],600
K2-160,Gaia DR3 3598004677793811584,3.973090978033287,[0.9833356],[2.29152859e-01 2.15679954e-27],[3.43356538e-01 2.38465594e-61],600
GJ 832,Gaia DR3 6562924609150908416,1.932675863280782,[0.87793781],[1.56182141e-01 1.37536624e-12],[3.14984974e-01 4.06183333e-51],600
Kepler-1658,Gaia DR3 2052194374009877376,2.408983113209919,[0.97791624],[1.91896728e-01 3.51393959e-19],[3.36023087e-01 5.32617867e-58],600
HD 76920,Gaia DR3 5224124307320401024,0.1970207829215515,[0.00854167],[1.62704216e-01 1.25067237e-13],[3.20598451e-01 1.02431544e-53],600
HAT-P-57,Gaia DR3 4483640815570090368,3.974119085571409,[0.99586667],[1.56927285e-01 8.20560397e-13],[3.13645939e-01 6.11523470e-51],600
HD 103891,Gaia DR3 3594183153334105216,3.781748826516438,[0.95621734],[1.51951695e-01 4.06587786e-12],[3.39519951e-01 1.19474032e-59],600
Kepler-1040,Gaia DR3 2131701365472538112,1.0662259295001892,[0.90785681],[2.32185447e-01 9.69252857e-28],[3.28891987e-01 2.72526265e-56],600
Kepler-1264,Gaia DR3 2127065652653876992,0.6327287282216101,[0.56516259],[2.0475724e-01 9.1918789e-22],[3.29163342e-01 1.29707507e-55],600
HD 142245,Gaia DR3 1193193836691820032,0.7894557135406827,[0.55414966],[1.66461551e-01 1.92198126e-14],[3.41049248e-01 8.76874781e-60],600
Kepler-839,Gaia DR3 2127396880530950272,1.4554688456877196,[0.93746239],[2.30753312e-01 1.70794501e-27],[3.26803718e-01 1.03841462e-54],600
TOI-532,Gaia DR3 3340265717587057536,1.2910176213240263,[0.89696487],[1.56873669e-01 6.86482557e-13],[3.24516303e-01 9.54809792e-54],600
K2-36,Gaia DR3 3811989156889528320,1.6431604660028976,[0.85045916],[1.56259817e-01 7.41945619e-13],[3.17982611e-01 4.13384920e-52],600
LHS 1140,Gaia DR3 2371032916186181760,0.36309601429831156,[0.25988356],[1.51379290e-01 4.54310035e-12],[3.20590933e-01 1.28876991e-52],600
K2-402,Gaia DR3 3865287467650348928,1.1680883125804689,[0.84046783],[2.40539428e-01 7.23116111e-30],[3.65755271e-01 5.52237841e-69],600
Kepler-1718,Gaia DR3 2125814129244571264,0.7285512347148242,[0.73938303],[1.50036357e-01 6.98289278e-12],[3.17011302e-01 2.98640925e-51],600
Kepler-1543,Gaia DR3 2080362899836411136,2.1425415203082094,[0.98802042],[2.35575602e-01 1.49137420e-28],[3.32965876e-01 3.97334685e-57],600
K2-57,Gaia DR3 2603155390066307456,1.134212488585416,[0.93395579],[2.27904948e-01 8.90129404e-27],[3.24609122e-01 2.43146552e-54],600
TOI-2328,Gaia DR3 4619939536821435904,2.0120029422222894,[0.98244714],[1.93277323e-01 3.17756422e-19],[3.24330587e-01 1.96508490e-54],600
HD 173416,Gaia DR3 2096524140211914368,0.5101720011927513,[0.22280643],[1.72498198e-01 1.46353819e-15],[3.23061464e-01 6.58375347e-54],600
HATS-26,Gaia DR3 5656896924435896832,1.636471271374594,[0.95450554],[2.16478105e-01 1.11512652e-20],[3.45750601e-01 1.29127038e-52],509
WASP-124,Gaia DR3 6614751532833886464,2.3929007811853156,[0.96769317],[2.21916044e-01 1.93576062e-25],[3.42777026e-01 3.41052233e-60],600
K2-394,Gaia DR3 3406132644545570432,2.7888789344610148,[0.97958469],[1.82539462e-01 3.06973568e-17],[3.25178091e-01 8.81179605e-54],600
HD 217958,Gaia DR3 2382836143445759488,0.5915698965999996,[0.53723263],[1.51970829e-01 5.33563862e-12],[3.22557004e-01 3.50724224e-53],600
30 Ari B,Gaia DR3 102082477749475200,5.686210548034042,[0.92714643],[1.67471121e-01 2.27806136e-14],[3.05933861e-01 3.48798711e-48],600
Kepler-561,Gaia DR3 2126454633427425664,2.027462352325768,[0.98029354],[2.25103921e-01 2.64172929e-26],[3.51121809e-01 1.14535083e-63],600
Kepler-1827,Gaia DR3 2053573711340731392,0.21190544005610742,[0.04499801],[1.94079950e-01 2.21064709e-19],[3.51616598e-01 9.67822207e-64],600
Kepler-1876,Gaia DR3 2075132209486310912,0.6214884365442295,[0.46618833],[1.82073214e-01 3.50258755e-17],[3.13849165e-01 2.62852224e-50],600
Kepler-318,Gaia DR3 2085559604106082688,3.8722718786813575,[0.99396484],[2.24559787e-01 6.51604169e-26],[3.47957511e-01 1.08816170e-63],600
Kepler-960,Gaia DR3 2119194936102585472,3.0263532747765196,[0.99214753],[1.66294686e-01 1.73562743e-14],[3.17795492e-01 3.87969649e-52],600
TOI-2374,Gaia DR3 6828814283414902912,3.0850830548639077,[0.98441435],[2.05361471e-01 7.46825989e-22],[3.19127446e-01 9.18104550e-53],600
WASP-129,Gaia DR3 5380888758195682944,0.8070078437297304,[0.63427137],[1.69871448e-01 7.99121180e-15],[3.27115988e-01 1.56973777e-54],600
TOI-2338,Gaia DR3 4822916912388338176,0.11694882488629035,[0.00056537],[2.15628764e-01 6.01240015e-24],[3.32442570e-01 1.49945878e-56],600
K2-26,Gaia DR3 3425691139632545152,0.05832033050249889,[1.00898918e-06],[2.09869704e-01 8.96235155e-23],[3.26456257e-01 8.80749458e-55],600
Kepler-1772,Gaia DR3 2101002725951186560,1.239397585794804,[0.92993718],[2.06166244e-01 8.45648913e-22],[3.27456060e-01 9.65891455e-55],600
HD 195019,Gaia DR3 1815418118373631360,0.08560406272504868,[0.00036757],[1.79153878e-01 8.71157326e-17],[3.19056407e-01 1.81283281e-52],600
K2-323,Gaia DR3 3859431674878660864,1.861594146969396,[0.95008477],[1.44825361e-01 4.24916595e-11],[3.31134608e-01 4.24783472e-56],600
WASP-46,Gaia DR3 6462994429708755072,4.440308850708606,[0.96806185],[2.38347023e-01 3.54706507e-29],[3.33091415e-01 2.85999724e-57],600
GJ 3082,Gaia DR3 4915139584039259392,1.2603822153032616,[0.78960031],[1.56006242e-01 1.46520743e-12],[3.21986761e-01 1.23062631e-53],600
HD 87883,Gaia DR3 747266452000257280,3.271859842873778,[0.95934997],[1.56553554e-01 6.99560372e-13],[3.21388794e-01 1.28403116e-53],600
Kepler-1228,Gaia DR3 2080534148769345408,0.0010187072717470324,[1.03416762e-21],[2.06274806e-01 6.75855930e-22],[3.1678225e-01 1.0350828e-51],600
Kepler-1644,Gaia DR3 2131523450748131456,0.9671481394941053,[0.43730844],[2.36825776e-01 3.50800508e-23],[3.60116686e-01 1.18760411e-52],478
Kepler-414,Gaia DR3 2086519821353411456,2.958824739605405,[0.94256911],[2.09752315e-01 1.03808422e-22],[3.36350607e-01 2.03425774e-58],600
WASP-10,Gaia DR3 1909762228985058944,4.290442680175274,[0.92736681],[2.09705392e-01 1.06240359e-22],[3.10450842e-01 8.29713246e-50],600
HD 133131 B,Gaia DR3 6224633983987511552,0.09846788441244081,[0.0107459],[1.57601994e-01 5.51920652e-13],[3.29179984e-01 6.57138336e-56],600
Kepler-9,Gaia DR3 2099925719951103872,1.1874045262178177,[0.89048072],[2.36095229e-01 7.95791145e-29],[3.34369648e-01 1.01771713e-57],600
CoRoT-6,Gaia DR3 4285684673395749120,3.880011558712524,[0.99602717],[1.79058426e-01 1.10097477e-16],[3.20701010e-01 5.09892858e-53],600
WASP-1,Gaia DR3 2862548428079638912,1.9758250965894455,[0.94972296],[2.43038946e-01 2.46831912e-30],[3.43818250e-01 6.95300974e-61],600
Kepler-1203,Gaia DR3 2126343823271448832,2.3171116456439282,[0.96814349],[1.55303314e-01 1.16082993e-12],[3.12495604e-01 1.78423528e-50],600
Kepler-1937,Gaia DR3 2101567359532639872,3.5659683458585736,[0.98929426],[2.01957518e-01 4.90440305e-21],[3.35550510e-01 1.23992377e-57],600
HD 189567,Gaia DR3 6427244702486210816,0.0695132532635651,[0.00094288],[1.52675416e-01 2.86043548e-12],[3.09495054e-01 1.69543675e-49],600
HD 113337,Gaia DR3 1676282377934772608,5.605879743932457,[0.95415474],[1.73575174e-01 1.20287597e-15],[3.10275477e-01 1.70793562e-49],600
TAP 26,Gaia DR3 47316005432912256,7.1931727553364375,[0.97230012],[1.06236629e-01 6.87977162e-06],[3.08682437e-01 1.79400951e-48],600
TOI-5232,Gaia DR3 2048174967505679488,0.04368285810616182,[0.00017629],[1.57305037e-01 6.80088737e-13],[3.19786296e-01 1.27414985e-52],600
HD 13189,Gaia DR3 325494788018024576,0.9707376136153428,[0.65802855],[2.10699938e-01 2.89786470e-23],[3.65885687e-01 1.62769303e-69],600
K2-200,Gaia DR3 3635174042031610496,0.15624856959415148,[0.00652252],[1.96209769e-01 6.14026285e-20],[3.44877959e-01 2.24913773e-61],600
KIC 3526061,Gaia DR3 2100133252769956224,2.3307975452082323,[0.97862577],[1.18328576e-01 2.01029609e-07],[2.98599004e-01 4.93766264e-46],600
TOI-5005,Gaia DR3 5984530842395365248,2.1499175759033164,[0.92665818],[1.62137564e-01 1.31956353e-13],[3.03783789e-01 2.96090619e-47],600
HD 9174,Gaia DR3 5044029491007060608,0.11673555383473408,[0.00079247],[1.73486431e-01 1.90590995e-15],[3.19214587e-01 3.00190056e-52],600
Kepler-440,Gaia DR3 2103871317426712448,0.6401773466099975,[0.59930753],[1.59931241e-01 3.16582660e-13],[3.04153627e-01 3.41961386e-48],600
Kepler-336,Gaia DR3 2101792175301394048,1.4906400416935632,[0.96063809],[2.20353871e-01 3.26102347e-25],[3.51372226e-01 7.17155396e-64],600
Kepler-1590,Gaia DR3 2129295049918456960,0.11506148709477398,[9.94204041e-05],[2.30537785e-01 1.54927160e-27],[3.31995196e-01 3.36744863e-56],600
Kepler-110,Gaia DR3 2128925579652377472,1.5873703215037411,[0.94242109],[2.22455438e-01 1.61188422e-25],[3.32514878e-01 8.99045320e-57],600
